A: 	ja dit zijn een kop met één van achter een soort kle 
A: 	en hij hebben aan al twee de kant hebben die een soort van pilaar met een dop een soort van paraplu misschien zoals je willen één aan de 
A: 	ja één zijn lang dan de ander inderdaad 
B: 	zijn lang dan de ander 
B: 	K 
B: 	ja ik weten niet veel hoe jij het net beschrijven ik vinden het een soort van springplank die erachter zitten 
B: 	met twee van die ding die eruit steken met bollet aan de zijkant 
A: 	ja ja ja ja ja ja ja dat zijn negen 
A: 	zo 
A: 	dit zijn dat komme met die twee balk aan de zijkant met die met die bollet daar dan weer op 
A: 	en dan een kleppie achterin weer 
B: 	ja 
B: 	F 
B: 	dit zijn weer met dat soort van springplank en die ding met die bollet aan de zijkant 
B: 	soort van potlood dat erdoorheen opsteken met twee bollet aan de uiteinde 
A: 	ja ja ja ja ja ja ja 
A: 	dat zijn drie 
A: 	dit zijn degeen met die een kort en één lang uittulpsel met die bolle eraan en die klep hierachter 
B: 	ja 
B: 	L 
B: 	dit zijn weer dat dat klepje met die twee potlod met bollet eraan die er zo uit steken 
A: 	de kleppie 
A: 	twee potlod met bollet 
B: 	weten je welk ik bedoelen 
A: 	nee 
B: 	ja dat die een zijn lang dan de ander 
B: 	er steken twee ding uit aan de onderkant 
A: 	ja ja ja ja ja ja ik weten het 
A: 	ik zien hem alleen niet ja hier 
A: 	dat zijn vijf 
