A: 	okee je hebben het kopvormpje 
A: 	dan staan er schuin in aan de bovenkant zeggen maar een ruit 
A: 	en aan de zijkant van de ruit daar zitten twee van die ja blokkentorens 
A: 	onderaan daar zitten een nou ja een l-vorm 
A: 	licht l-vorm 
A: 	ook aan de rechterzijkant zitten zo'n uitstekend l-vorm 
B: 	ja 
A: 	en in het midden zitten er dan een ja ik denken het zijn een zeshoek 
A: 	die uitsteken alsof het een beetje een neus zijn 
B: 	okee ja het zijn diegene met een soort van vierhoek dat er zo soort van in staat en dan twee blokkentorens tegen elkaar 
A: 	ja 
A: 	twee blokkentorens tegen elkaar ja 
B: 	toch 
B: 	ja okee b 
B: 	dit hebben soort van het vierkantje wat en er een soort van ingestoken zijn aan de zijkant en dan met de twee toren tegen elkaar 
B: 	de twee blokkentoren die er in tegen elkaar komen zeggen maar 
B: 	en dan onderaan nog een soort van vierkant dinge staaf iets 
A: 	okee 
B: 	die ook aan de rechterkant zitten 
A: 	beetje zo'n l-vorm aan de onderkant 
B: 	ja ja ja 
A: 	en eigenlijk de ruit die er half ingestoken 
B: 	ja inderdaad dat een beetje lijken op een boek 
A: 	ja 
A: 	ja vijfteen 
A: 	dit zijn die met de ruit met de twee blokkentoren aan de bovenkant 
B: 	ja ik moeten hem even zoeken 
A: 	de vorm aan de onderkant 
B: 	die ja inderdaad c 
A: 	ja 
B: 	dit zijn degeen met het vierkantje erin en met de twee blokkentorens tegen elkaar 
A: 	ja zeven 
B: 	okee 
A: 	dit zijn die met de vierkant Erbovenin met de twee blokkentorens tegen elkaar aan 
B: 	die ja k 
B: 	degeen met het vierkantje erin met de twee blokkentorens tegen elkaar 
A: 	ja waar zijn hij 
A: 	ja twaalf 
