A: 	deze hebben zo'n uitsteeksel waar ja ik vinden het op een spijker lijken die erin zitten 
B: 	ja 
A: 	en dat uitsteeksel hebben een beetje een gek vorm 
A: 	en aan de rechterkant zitten nog een een plateaut zeggen maar 
B: 	ja dan zijn het L 
A: 	die uitsteken 
B: 	deze hebben wat jij op een spijker vinden lijken met op dat gek vormige uit en dat plateau aan de zijkant 
A: 	ja 
A: 	ja oké dan zijn het zeven 
A: 	dit zijn die met die spijker erin 
B: 	oké 
B: 	dat zijn C 
B: 	ik hebben diegene met die spijker en dat gek vormp waar die op staat en een plateau 
A: 	ja 
A: 	oké dat zijn één 
B: 	oké 
A: 	dit zijn die met die spijker erin 
B: 	ja 
B: 	dat zijn A 
B: 	ik hebben diegene met die spijker en dat gek vormp en het plateau 
A: 	ja 
A: 	dat zijn dertien 
