B: 	oké 
B: 	ik hebben het rood vierkant 
B: 	het zijn een beker en hij staan op een soort van voetstuk 
B: 	en hij hebben hier een arm 
B: 	en in de beker zitten een soort van dinge hier en hij hebben een rood cirkel of een blauw cirkel erachter 
A: 	oké en het voetstuk zijn een beetje langwerpig en het staan ongeveer deze hoek 
B: 	ja 
B: 	voor mij zo maar dan denken ik voor jou zo ja zeggen maar zoiets 
A: 	ja ja spiegelen dan 
A: 	oké en dat rood cirkelt zitten een beetje aan de achterkant 
B: 	het zijn geen rood cirkel maar ja 
A: 	dat je het half zien 
A: 	rond ja sorry 
B: 	ja hij zitten aan de achterkant ja 
A: 	oké 
A: 	dan 
B: 	volgens mij moeten jij hardop zeggen wat 
A: 	ja dertien 
A: 	dit zijn ja dat pannet weer zeggen maar dus je hebben dat komme en dan in het midden één kant zitten zo'n staaf en dan bovenop lijken het alsof het er zo'n lepel in zitten en dan met dat rond aan de achterkant 
B: 	en hij staan op een op een op een op een blok 
A: 	op zo'n ja op een klein blok 
A: 	ja 
B: 	oké letter O 
B: 	deze staat weer op dat voe 
B: 	dus dat dat dat voe 
A: 	met die paardenstaar 
B: 	en hij 
B: 	nee hij hebben een 
A: 	ja 
B: 	sorry nee dat soort van rond voe en hij hebben één pluk hij hebben een cirkel daarachter hij hebben een arm naar links 
A: 	ja 
A: 	met het cirkelt en het 
A: 	yes 
A: 	nummer acht 
A: 	dit zijn zeggen maar het pannet op een voetstuk 
A: 	met dat cirkelt daarachter 
A: 	en dan dat dinge erin en dat ding aan de stok aan de zijkant 
B: 	ja 
B: 	letter C 
B: 	hij hij staan weer op zo'n blok op dat ronde op dat voetstuk en hij hebben zo'n cirkel achter hem 
B: 	en hij hebben een een een balk link van hem komen en hij hebben een lepeltje of zo daarin staan 
A: 	ja 
A: 	nummer zeven 
A: 	dit zijn zeggen maar dat ja wat ik zeggen pannetje 
A: 	hij staan op dat klein voetstuk 
A: 	en er zitten een armp aan de zijkant en het rond erachter 
B: 	ja ik zien dat je het een pannet vinden 
A: 	en het lepel daarin 
B: 	ja 
B: 	letter C 
A: 	en dan zijn we klaar 
B: 	hoi 
