B: 	oké 
B: 	het zijn het bak en hij hebben weer zo'n neus aan de voorkant niet op de op zijn hoofd maar 
A: 	ook zo'n bolle 
B: 	ja 
B: 	een bolle aan de voorkant 
B: 	en het zullen ook kunnen lijken op zeggen maar een een bak waar twee tandenborstel in staan 
B: 	en de een zijn een zijn een beetje artistiek vormen en de ander zijn gewoon een gewoon een balk 
B: 	en aan de linkerkant zitten een driehoekig staaf 
A: 	uitsteeksel 
A: 	ja 
A: 	oké 
A: 	nummer veertien 
A: 	dit lijken op dat bak met twee tandenborstel wat jij zeggen er zitten zo'n bolle voor nog 
B: 	ja 
A: 	en dat stok aan de zijkant 
B: 	letter N 
B: 	tandenborstel in het glaas met het neus aan de voorkant en het armp 
A: 	yes 
A: 	nummer negen 
A: 	dit zijn een bak met de twee tandenborstel 
A: 	en het neus ervoor 
B: 	ja 
B: 	letter G 
B: 	tandenborstel in het glaas met het neus en het armp 
A: 	yes 
A: 	nummer vijf 
A: 	bak met tandenborstel 
A: 	en het neus 
B: 	even zoeken hoor 
B: 	ja 
B: 	letter J 
