B: 	deze hebben een vierkant plateau aan de onderkant 
A: 	ja duidelijk 
B: 	ja 
A: 	met een rond 
B: 	ja van die antenne aan de zijkant ja 
A: 	ja 
A: 	ja 
A: 	en een rond voorop 
B: 	ja 
A: 	tien 
A: 	ja deze zijn aan de onderkant hebben hij een vierkant , hij hij staan op een vierkant hij leunen echt op een vierkant 
B: 	ja 
B: 	dat zijn ja een cirkel aan de voorkant 
A: 	ja 
B: 	ja E 
B: 	dit zijn de enig met die plateau aan de onderkant 
A: 	ja en die cirkelvormig aan de achterkant 
B: 	ja 
A: 	nummer acht 
A: 	deze zijn met het het vierkant als basis 
B: 	onderop 
B: 	ja ja 
B: 	dat zijn P 
B: 	dit zijn die vierkant eronder plateau 
A: 	ja 
A: 	nummer acht 
A: 	cirkel aan de voorkant , vierkant onder als basis 
B: 	ja 
B: 	O 
