A: 	nu hebben ik het vierkantje 
A: 	ja ik hebben dit omschrijven als een soort neus die doorboren zijn met een paal 
B: 	ja weten ik al welk 
A: 	ja ? hebben je hem 
B: 	ja 
B: 	F 
B: 	ja 
B: 	dit zijn weer de neus met de balk erdoorheen 
A: 	ja de de doorboren neus ja 
B: 	ja 
A: 	dat zijn vijf 
A: 	dit zijn de doorbooren neus 
B: 	ja A 
B: 	dit zijn de neus met de doorboring 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja 
A: 	dat zijn vijf 
A: 	dit zijn de doorbooren neus 
B: 	ja dat zijn H 
B: 	dit zijn de neus met de doorboring 
A: 	dat zijn vijftien 
