B: 	oké het zijn ik vinden het lijken op een steelpan met een roerkooklepel erin zeggen maar 
B: 	en een deksel die zeggen maar op de zijkant eraf hangen 
A: 	een deksel die op de zijkant eraf hangen even 
B: 	ja hij hij plakken zeggen maar tegen de zijkant aan daar vinden ik hem op lijken 
B: 	hij staan hij hebben geen ronde onderkant maar staan op een soort plateau 
A: 	staan die op een plateau ? zijn het zijn het zijn zijn het de enig die op een plateau staan 
B: 	ja een smal 
B: 	nee je hebben wel één met een 
A: 	staan die op een vierkant plateau 
B: 	nee hij staan op een langwerpig plateau 
A: 	oké 
B: 	en dan zitten er een soort steel aan en het lijken alsof er een soort lepel roerlepel in zitten 
A: 	en zitten er aan de linkerkant een steelt aan 
B: 	ja linkerkant 
A: 	en aan de achterkant een soort van half rond wat je zien 
B: 	ja precies dat zijn hem 
A: 	oké dan zijn het nummer dertien 
A: 	en dan moeten ik op een knop drukken 
B: 	ja 
A: 	ja 
A: 	ja deze deze staat lijken wel alsof die gegoten zijn in het plateau waar die op staat en rechts bovenin zijn een soort van een druppel die uitsteken 
A: 	en links in het midden hebben die ook een uitsteeksel 
A: 	maar wat misschien nog wat makkelijk zijn hebben die een aan de achterkant zitten er een een ronde plateau tegenaan 
A: 	ja deze zijn wel lastig te omschrijven 
B: 	aan de achterkant een rond 
A: 	maar het even kijken als ik hem als ik hem 
B: 	ja ja ja en dan zitten er zo'n zo'n ja zo'n bovenin zitten dan nog een een rondachtig dinge die eruit komen en dan 
A: 	ja weten je hem 
A: 	ja 
A: 	het zijn het eigenlijk het enig plaat waar helemaal rechts bovenin het uitsteeksel zitten wat lijken op een druppel 
B: 	ja en dan links nog een uitsteeksel er een uitsteeksel 
A: 	ja kloppen 
B: 	ja 
B: 	dat zijn O 
B: 	oké 
B: 	dit zijn weer het soort pannet met dat op dat plateaut staan 
B: 	niet een heel plateau maar een dunner plateau een langwerpig ovaal plateau met een ja ik ik 
A: 	druppel rechts bovenin 
B: 	ja druppel rechts bovenin en nog een rond achter 
A: 	ja 
A: 	ja 
A: 	het zijn de enig met dat gek plateau waar die op staat 
B: 	ja precies 
A: 	ja 
A: 	oké dat zijn nummer acht 
A: 	ja dit zijn die enig die op dat gek plateau staan waar die op lijken of die ingegoten zijn met rechts bovenin zo'n druppel 
B: 	die ja ik 
A: 	met een rond plateau nog aan de achterkant 
B: 	ja ja ja dat zijn C 
A: 	ja 
B: 	dit zijn weer ja ik noemen het nog ja dat dat plateau dat zeggen maar niet helemaal afmaken zijn met dat druppelt Erbovenin en 
B: 	het rond aan de achterkant 
A: 	ja met een staaf nog links 
A: 	nummer zeven bij mij zitten die helemaal links onderin 
A: 	ja dit zijn die een met het raar plateau waar die op ingegoten staan met met het druppelt rechtsboven 
B: 	en twee 
A: 	en link opsteken er nog wat uit 
B: 	ja 
A: 	en een rond plateau aan de achterkant 
B: 	ja 
B: 	ja 
B: 	dat zijn C 
B: 	oké 
