B: 	ik hebben nou ja het je kunnen het een beetje vergelijken met een wijnglas zeggen maar dus dan zijn het zo'n beker en daaronder zitten dan nog zo'n staaf met een een driehoek eronder zeggen maar 
A: 	ja 
B: 	en dan hebben je nog twee van die blok en nog ja een soort van rietje wat eruit opsteken een beetje 
A: 	ja 
A: 	recht op zo'n spiraal staan die of zo ik weten niet 
A: 	of ja zo'n ding hij staan omhoog in ieder geval 
B: 	ja 
A: 	dat zijn nummer vier bij mij 
A: 	ik hebben nu die een die op die driehoek met die staaf zeggen maar erop staan op die verhoging een soort beker of zo zullen je het kunnen zien soort trofee 
A: 	gewoon ja ik weten niet 
B: 	ja 
A: 	met die blok ook erop 
B: 	ja 
B: 	dat zijn A bij mij 
B: 	nou hebben we weer die soort van trofee zeggen maar met wel dat driehoek en dan 
A: 	met die vierkan erop 
B: 	ja 
A: 	ja 
A: 	nummer tien 
A: 	ik hebben nu die soort trofee zeggen maar helemaal rechtsboven staan die bij mij 
B: 	ja 
A: 	dat driehoekig ding 
B: 	bij mij zijn dat L 
B: 	weer die een trofee zeggen maar die op dat plateau en dan met die twee kubus 
A: 	de driehoekig ding toch 
B: 	ja de driehoekig ding inderdaad en dan 
A: 	ja 
A: 	dat zijn bij mij nummer vier 
A: 	ik hebben die trofee 
A: 	die staan ongeveer in het midden bij mij 
B: 	ja 
B: 	dat zijn bij mij F 
