A: 	deze hebben een plat rond aan de rechterkant die horizontaal staan 
A: 	en er zitten links een soort van hartjesvormuitsteeksel met een met een pin erin 
A: 	ook nog 
B: 	plat rond aan de 
A: 	aan de rechterkant zitten een horizontaal plat rond 
B: 	ja 
A: 	en link zitten zeggen maar een vormp met een met een punt erin 
B: 	en met een een ster en een sterrenkijkerachtig ding toch 
A: 	sterrenkijk ja die ja die ja 
B: 	ja 
B: 	dat zijn bij mij d 
B: 	deze hebben een rechts van het figuurtje een plat cirkel 
B: 	en link omschrijven je het als een soort van hartjeachtig vorm met een sterrenkijker erin 
A: 	die ja 
B: 	die spiest de har 
A: 	die dat horizontaal cirkelding dat har ja 
B: 	ja ja ja 
A: 	ja dat zijn nummer drie 
A: 	dit zijn die met die plat horizontaal cirkel en dat hartje met die pin erin dat uitstekend hartjevormding 
B: 	ja ja dat zijn k 
B: 	dit zijn de de de de hart hartjesstaaf en een verrekijker 
A: 	ja 
A: 	yes 
B: 	Sterrekijker 
B: 	dat zijn vijf 
A: 	ja 
A: 	dit zijn die met die hartjesvorm en die sterrenkijker eruit 
B: 	ja dat zijn g 
B: 	de hartjesvormig staaf en de sterrenkijk 
A: 	ja dat zijn negen 
