B: 	oké ik noemen dit poppe het met een badpak zeggen maar er lijken dus een soort van zwemband eromheen te zitten een soort vierkant om het poppe heen 
A: 	oké 
B: 	hij hebben twee staaf op zijn hoofd hij hebben op zijn neus hebben die een lang staaf 
A: 	ja ja ja ja ja ja ja ik zien hem al 
B: 	en hij hebben één armp zo omhoog 
A: 	ja en dan ik noemen dat zelf de glijbaan volgens mij met die neus die zo naar beneden 
B: 	precies ja 
B: 	en hij hebben een vierkant eromheen zitten alsof het een soort van zwemband zijn 
A: 	ja 
A: 	ja ja ja ja 
A: 	het zijn Numero zes 
A: 	dit zijn de wat ik noemen de glijbaan 
A: 	dus die die een die die die slurf die zo naar beneden gaan 
B: 	ja 
B: 	ja met het met het band eromheen toch ? met dat 
A: 	de ja 
A: 	ja met dat band eromheen 
B: 	dan gaan het om C 
B: 	dit gaan over de glijbaan met de band eromheen 
A: 	ja ik zoeken hem even op 
A: 	dat zijn Numero dertien 
A: 	dit zijn de glijbaan 
B: 	ja 
B: 	zoeken hem even op met de ding eromheen 
A: 	ja 
B: 	gaan om J 
B: 	bij mij gaan het hier om de glijbaan met het band 
A: 	glijbaan met band dat zijn Numero negen 
A: 	de glijbaan 
B: 	ja worden nummer N tweepoot N 
