A: 	ja deze hebben een soort van nou ja ronde Buis en die lijken gewoon al door de zijkant van die van het kop als we het over kop hebben doorheen steken 
B: 	alsof het een handrem zijn van een fiets 
A: 	ja zoiets 
B: 	ja ja 
A: 	en ja aan de het ja 
B: 	en aan de achterkant een vierkant 
A: 	zitten ook zo'n vierkant met iets eronder 
A: 	ja die ja 
B: 	juist okee dan zijn dat o 
A: 	ja 
B: 	deze hebben ja zoals ik zeggen die handrem dwars door het beker heen steken 
B: 	met een vierkant plateau met een uitsteeksel aan de achterkant 
A: 	ja ik weten welk je bedoelen ik moeten hem alleen even 
A: 	ja nummer vier 
A: 	dit zijn weer de stuur van het fiets 
A: 	met de balk dwars door het dinge of het rond 
B: 	ja 
B: 	ja ja 
B: 	yes dat zijn h 
B: 	fietsrem 
A: 	ja ik weten hem al alleen ik moeten hem nog even zien te vinden 
B: 	kop ervoor met een fietsrem 
A: 	dat zijn nummer tien 
B: 	ja 
A: 	het fietsstuur 
B: 	het fietsstuur 
B: 	dat zijn m 
B: 	fietsrem 
A: 	ja ik weten het al 
A: 	even kijken 
A: 	waar zijn die 
A: 	nummer vijfteen 
