B: 	deze hebben het het vierkant aan de voorkant 
B: 	en dan aan de linkerkant van het van die emmer zitten twee van dezelfde ding naar de buitenkant 
A: 	ja ik noemen 
A: 	ja ik noemen dat die robot 
B: 	ja lijken een beetje op een robot ufoachtig Ruimteding 
A: 	ja 
A: 	ja precies 
A: 	dat zijn twee 
A: 	ja dit zijn die robot 
B: 	ja G 
B: 	dit zijn de robot met dat vierkant vlak voorop 
A: 	ja even kijken waar staan die 
A: 	negen zijn dat robot 
A: 	ja dat zijn die robot 
A: 	met de vierkant plaat 
B: 	yes 
B: 	d 
B: 	de robot 
A: 	de robot even kijken één zijn dat bij mij 
A: 	dit zijn die robot 
B: 	ja waar staan die 
B: 	ja 
B: 	B 
