B: 	oké deze hebben zo'n plaat vierkant maar dan halverwege 
B: 	en het lijken een beetje alsof die zo'n armp opsteekken en dan zo'n slurf hebben aan de voorkant 
A: 	en dan twee van die dinget 
B: 	ja 
A: 	dan zijn dat nummer zes 
A: 	ja dit zijn die met die plaat die zeggen maar op een kwart van de onderkant zitten 
A: 	met die twee klein staafjes aan de bovenkant 
B: 	ja 
A: 	dat armdinge en één en die glijbaan 
B: 	en die slurf ja 
B: 	ja 
B: 	dat zijn C 
B: 	dit zijn weer die met die vierkant plaat op op ongeveer een kwart van het kop 
B: 	met dat armp omhoog met die twee klein stokjes op een kop 
A: 	ja 
A: 	nummer dertien 
A: 	ja dit zijn die met dat vierkantje op een kwart van onder 
A: 	de twee klein staafjes aan de bovenkant 
B: 	ja 
A: 	de glijbaan en het zwaaiend armp 
B: 	met de 
B: 	en het armp 
B: 	dat zijn J 
B: 	dit zijn weer met die vierkant plaat op één vier ongeveer met die twee klein cilindertjes bovenop en dat armp omhoog 
A: 	dinget 
A: 	ja nummer negen 
A: 	het kop met de twee klein staafjes erbovenop de vierkant op een kwart de glijbaan en het armp 
B: 	ja ja dat zijn N 
