A: 	okee hier zitten veel 
A: 	onderop de emmer hebben je een uitsteeksel die naar jou toegericht gaan 
A: 	rechts hebben je ook één die uitsteken en dan naar voor komen 
A: 	en een klein cilinderachtig balk die net Erboven uitsteekt 
A: 	en bovenop hebben je twee ruit 
A: 	die aan elkaar plakken zijn 
A: 	en daaruit aan beide kant komen kubusas 
B: 	ja 
B: 	o 
B: 	deze hebben een soort van staaf die eruit komen onderaan die naar de toe wijzen 
B: 	en aan de zijkant komen er ook zoiets uit wat aan de rechterkant ook naar je toe wijzen 
B: 	bovenop zijn er twee ruit en dan 
A: 	ja 
A: 	tien 
B: 	ja 
A: 	deze hebben die twee ruit bovenop met daaruit kubus 
B: 	ja d 
B: 	deze hebben de ruit bovenop met de staaf eruit 
B: 	en aan de onderkant en aan de rechterkant komen er een soort van iets uit wat naar jou toe wijzen 
A: 	de ruit bovenop 
B: 	ja daarachter soort van twee ruit 
B: 	en aan de een kant komen er die blok uit en aan de ander kant 
A: 	ja drie 
A: 	die hebben die twee ruit bovenop met die blok 
B: 	ja c 
B: 	dit zijn de met de twee ruit bovenop en waar de blok uitkomen 
A: 	twee 
