A: 	dit zijn dat cilinder hebben bovenop een een ei zeggen maar een rond ei en rechts een een vierkant 
A: 	paal zeggen maar 
A: 	bovenop een rond 
B: 	ja en dan ook twee van die uitstulpsels 
A: 	ja ja 
B: 	ja dat zijn bij mij nummer D 
B: 	oké ik hebben ja een kop en daar zitten zo'n bolle bovenop en dan zo'n paal ervoor 
A: 	ja 
A: 	ja die hebben we net ook al 
B: 	en nog twee van die dinget 
A: 	die hebben we al hebben toch 
A: 	een keer 
A: 	ja ja 
B: 	ja 
A: 	nummer vijftien 
A: 	die met dat rond bovenop en die balk aan de zijkant 
A: 	en dan die twee uitsteeksel 
B: 	ja dat zijn L 
B: 	ja met dat bolle bovenop en die staaf vooraan 
A: 	ja dat zijn nummer zes 
A: 	die met dat rond en dat balk aan de voorkant 
A: 	rond bovenop 
A: 	balle 
B: 	J 
B: 	ik hebben met dat balle en dat dat die paal voor 
A: 	een blok 
A: 	ja 
A: 	dat zijn nummer drie 
