B: 	okee deze hebben weer zo'n neus aan de rechterkant 
B: 	en twee verschillend spriet bovenop zijn hoofd 
B: 	een recht en één met een raar vorm 
A: 	ja elf 
A: 	dit zijn een beker met links en boven een driehoekig uitsteeksel en een een balle voorop 
B: 	je moeten ze ook maar net zien 
A: 	het balle voorop daar hebben we eigenlijk maar één 
B: 	ja 
B: 	ik kunnen ze niet ik kunnen ze niet vinden 
A: 	die dan niet de piercing hebben 
B: 	die met twee verschillend oor zeggen maar bovenop 
A: 	ja ja 
B: 	okee dat zijn i 
B: 	deze hebben een neus rechts maar geen piercing 
A: 	vier 
B: 	piratenverrekijker 
A: 	ja neus rechts 
A: 	met niks erdoorheen en de twee apart voelspriet 
B: 	okee 
B: 	i 
B: 	de neus zonder piercing met twee voelsprieten 
A: 	veertien 
A: 	neus met twee apart voelspriet 
B: 	l 
