A: 	deze hebben aan de rechterkant twee uitstekend paneel zullen ik zeggen 
B: 	ja 
A: 	en bovenop eigenlijk een soort hoed dat toelopen 
B: 	ja 
A: 	en speciaal 
B: 	ik denken dat ik hem al weten 
A: 	okee 
A: 	ik geven de hoop al op 
B: 	h 
B: 	we doen het gewoon 
B: 	deze hebben een soort fez op zijn hoofd 
B: 	zo'n afgedakt hoed 
B: 	met rechts twee identiek ja 
A: 	ja drie 
B: 	ja 
A: 	deze hebben rechts twee paneel 
A: 	en een hoed met een plat dak 
A: 	of een plat hoed 
B: 	ja en nog twee aanhangsel aan de linkerkant 
A: 	of een plat dak 
A: 	precies 
B: 	okee dat zijn o 
B: 	deze hebben een fez op zijn hoofd 
B: 	een afgeplat hoed 
B: 	en twee 
A: 	een fez 
B: 	ja volgens mij heten dat zo 
B: 	en twee identiek staf aan de zijkant 
B: 	aan de rechterkant 
B: 	en dan nog twee ding aan de linkerkant 
A: 	ik hebben hem dertien 
A: 	twee uithangborde aan de rechterkant 
A: 	en plat hoed 
B: 	en twee ding link 
A: 	ja 
B: 	dat zijn m 
B: 	fez met twee rechthoeak aan de zijkant 
A: 	ja fez zijn wel genoeg nu die gaan ik niet veel vergeten 
A: 	even kijken waar hij zijn 
A: 	ja zeven 
