B: 	kijken dit zijn die met die voet 
B: 	die zo'n vierkant op het rand hebben staan 
A: 	op zo'n statief 
B: 	ja zo'n statief inderdaad 
A: 	ja 
B: 	en dan 
A: 	ja 
B: 	ja 
A: 	dan zijn het vier 
A: 	deze hebben weer een statiefje 
A: 	een driehoekig statiefje 
B: 	ja die met die blok aan de bovenkant 
A: 	ja 
B: 	ja 
B: 	A 
B: 	kijken dit zijn die met dat statief die voetensteun 
A: 	ja 
A: 	dat zijn tien 
A: 	zijn dat het statief weer 
B: 	L 
B: 	dit zijn met die met dat statief 
B: 	voe 
A: 	ja waar zijn jij nou ? hier 
A: 	vier 
A: 	de het statief 
B: 	F 
