A: 	en 
B: 	even kijken 
B: 	er zitten aan de linkerkant zitten twee kubus die weer klein worden naar binnen 
A: 	ja 
B: 	daar zijn er maar één van 
A: 	en zitten 
B: 	bovenop zitten een soort paddenstoel 
A: 	ja zitten er ook een vierkant vlak voor 
B: 	ja 
A: 	ja oké ja 
A: 	dat zijn twee 
A: 	er zitten een vierkant vlak voor er zitten een paddenstoel op 
A: 	en een vierhoek die steeds klein worden 
B: 	dat zijn nummer G 
A: 	vierkant 
A: 	ja 
B: 	dit zijn die met het paddenstoel 
A: 	ah met de plaat aan de voorkant 
B: 	ja 
A: 	oké 
A: 	dat zijn negen 
A: 	en er zijn een plaat voor 
A: 	aan de voorkant en er zitten een paddenstoel op 
B: 	dat zijn D 
A: 	heel delicaat 
B: 	dat zijn die met de paddenstoel 
A: 	ach de paddenstoel 
A: 	en de plaat 
A: 	dat zijn één 
A: 	zitten een plaat voor er zitten een paddenstoel op 
B: 	ja 
B: 	en dat zijn B 
