A: 	nou deze gaan denken ook wel 
A: 	het zijn geen volledig driehoek dat je bovenop zien 
A: 	top zijn ervanaf gehakt 
B: 	ja 
A: 	aan de rechterkant twee houten plank die uitsteken 
A: 	steken even ver uit 
A: 	en link zitten ook een ja een 
B: 	ja ik denken dat ik wel weten welk je bedoelen 
A: 	ja ? okee 
B: 	ja ja 
B: 	ik gaan voor p 
B: 	nou deze die zoals jij hem omschrijven hebben hij bovenop hebben hij een soort driehoek die afgekaptten zijn 
B: 	aan de zijkant rechts twee lat 
B: 	en aan de ander kant een een haak naar links toe en weten ik veel twee armp een armp 
A: 	iets geks 
A: 	ja 
A: 	helemaal goed 
B: 	ik weten het niet 
B: 	ja 
A: 	dat zijn nummer veertien 
A: 	dit zijn het kop met het afgezaagd dakje van de pyramide 
B: 	ja 
A: 	en twee houten plank aan de rechterkant 
A: 	link een gek staaf en ja 
B: 	ja 
B: 	gaan ik voor g 
B: 	dan de driehoek die afgekaptten zijn aan de bovenkant 
B: 	aan de zijkant twee lat 
B: 	en haakvormig uitstekel onderaan 
A: 	ja 
A: 	nummer tien 
A: 	deze zijn met de twee houten plank aan de rechterkant het afgezaagd dakje van de pyramide 
B: 	ja 
A: 	ja nou die 
B: 	dat zijn e 
A: 	ja 
B: 	afkapten pyramide 
B: 	met lat aan de aan de de rechterkant twee 
B: 	haakvormig dinge aan de linkerkant 
A: 	ah 
A: 	nummer vijf 
