A: 	oké deze vinden ik ook een heel raar ding 
A: 	ik hebben uiteindelijk zeggen dat die een soort feesthoedje hebben 
A: 	en het lijken alsof er een soort potlood in dat ding steken een soort afsnijden potlood 
B: 	ja aan de linkerkant 
A: 	ja precies en dan een soort van cirkelt nog daaronder 
B: 	ja 
A: 	waar die op staat en een ja heel soort heel raar figuur die er dan ook midden eruit steken 
B: 	ja 
B: 	piramide alleen dan de bovenkant zijn eraf snijden 
B: 	denken ik 
A: 	ja ja precies 
B: 	ja 
B: 	oké ja dat zijn J 
B: 	dit zijn weer dat feesthoed denken ik dat het zijn die piramide of kegel op het hoofd met links die pen wat jij zeggen volgens mij zeggen je dat die doorboren 
A: 	ja precies 
B: 	aan de onderkant een rond en dan op de voorkant zo'n piramide maar dan doorsnijden 
A: 	precies 
A: 	dat zijn zes 
A: 	dan zijn het een ander plek 
A: 	dit zijn die met het soort van ja hoed feesthoedje van een piramide en een potlood aan de zijkant erin steken 
B: 	ja E 
B: 	dit zijn de one's piramide feesthoedje bovenop en dan links de potlood erin steken 
A: 	ja 
A: 	even kijken waar je zijn 
A: 	dat zijn ja dat zijn tien 
A: 	dit zijn de feesthoed met de potlood er aan de zijkant in steken 
B: 	ja G 
B: 	dit zijn de feesthoed met potlood aan de zijkant erin 
A: 	yes dat zijn tien 
