B: 	ja deze die die die vinden ik ook wel grappig 
B: 	ik beseffen me dat ik daarstraks hebben ik de hebben ik deze en een ander halen ik een beetje door elkaar 
A: 	ah 
B: 	maar ik hebben bij deze moeten ik weer denken een beetje aan een eineus 
A: 	een eineus 
B: 	alleen dan deze keer zeggen maar dan hebben die geen verticaal lat erdoorheen 
A: 	geen verticaal lat 
B: 	nee die hebben gewoon gewoon alleen de neus zeggen maar aan de rechterkant 
B: 	eineus 
A: 	ja 
B: 	en bovenin het kop twee ding erin zitten 
B: 	een lat die gewoon een latvorm zijn en ja iets wat je misschien als één van soort van pen zullen kunnen beschouwen 
A: 	ja een soort vulp 
B: 	beetje diagonaal staan die erin 
A: 	ah ja ik denken een omgekeerde stropdas 
B: 	ook een heel goed ja ja 
A: 	zoiets 
A: 	ja dat zien ik erin 
B: 	ja hebben je beetje een idee welk dat zijn 
A: 	ja dan weten ik het wel ja 
A: 	dan gaan ik voor negen 
A: 	okee 
A: 	nou dit gaan weer over het kop met het eineus 
B: 	ja 
A: 	aan de voorkant zitten een lat aan de bovenkant 
B: 	doorheen 
A: 	omgekeeren stropdas 
B: 	ja ja ja 
A: 	en daar link nog een driehoekig uitsteeksel 
B: 	alright dan gaan ik voor j 
B: 	het zijn het ei-neuskopje 
B: 	zonder een horizontaal stang erdoorheen 
B: 	maar met twee object bovenin 
B: 	en aan de linkerkant een uitsteeksel 
A: 	of een driehoek 
B: 	ja 
A: 	ah die met de omgekeerde stropdas 
A: 	nummer vier 
A: 	dit zijn het eivormig neus 
A: 	twee ding bovenop 
B: 	ja 
A: 	paal en omgekeerde stropdas 
B: 	ja 
A: 	en ja 
B: 	dat zijn voor mij e 
B: 	we hebben ons welbeken kop met een eineus 
B: 	een lat bovenin een omgekeerde stropdas 
A: 	ja 
A: 	nummer elf 
A: 	eivormig neus omgekeeren stropdas 
B: 	ja waar zijn je 
B: 	ja dat zijn j 
