A: 	dit zijn een kegelvorm dus zo'n vorm 
B: 	ja 
A: 	en die staan bovenop de op het kop zijn eigenlijk de enig die zo zijn 
B: 	ja en zijn die hol 
A: 	ja die zijn hol 
B: 	okee dan zijn het 
A: 	en dan zitten daar links een klein uitsteeksel en 
B: 	ja dan zijn het h 
A: 	okee 
A: 	die zijn makkelijk 
B: 	deze hebben de hol kegel bovenop 
A: 	hol kegel bovenop dat zijn zeven 
A: 	deze hebben die die kegelvorm bovenin die hol zijn 
B: 	ja dat zijn m 
B: 	deze hebben de hol kegel 
A: 	hol kegel zijn nummer zeven 
A: 	dit zijn met met de kegelvorm die hol zijn 
B: 	ja dat zijn o 
B: 	dit zijn de hol kegel 
A: 	hol kegel zijn nummer twaalf 
