A: 	dit zijn de mok met een driehoek 
A: 	die komen er linksboven uit 
A: 	aan de linkerkant zitten een soort van knopje die je bijna aan en uit zullen kunnen zetten 
A: 	aan de onderkant lijken een soort linksonder een soort van rondje te zitten een soort wieletje 
A: 	en er komen een soort van blok uit zijn uit het kop het lijken een beetje op een soort van neus 
B: 	oké dus het zijn in principe een soort eivormig iets wat vooraan de mok zitten 
B: 	en dan een balk en twee balk en een schijf 
A: 	nee niet helemaal nee hij hebben echt als je vooral let op die soort van piramide zeggen maar linksboven die uit het kop komen 
B: 	ja 
B: 	ja 
A: 	dat hebben al ander vorm eigenlijk niet 
B: 	ja 
A: 	en link zitten een soort van prikkertje zeggen maar die 
B: 	ja 
B: 	en dan een soort gek vormen ja het zijn geen vierkant maar 
A: 	nee die 
B: 	ja precies ja dat zijn bij mij nummer J 
A: 	ja 
B: 	of letter J 
A: 	dat zijn makkelijk 
B: 	ja 
B: 	ik hebben in principe de gek vormen driehoek waarbij de kleur gradueel van donker naar licht gaan 
B: 	vooraan zitten een soort raar vierkantje met een uitsteeksel 
B: 	heel raar vorm en dan veel een soort puntig kogel aan de linkerkant 
A: 	ja 
B: 	ja 
A: 	ja dat zijn nummer zes hier 
A: 	dit zijn de mok met driehoek 
A: 	die soort van piramide die linksboven staan waarvan jij zeggen dat die verschillend kleur hebben 
B: 	ja 
B: 	ja 
A: 	nou die 
B: 	dat zijn dan E 
B: 	ik hebben degeen met het gradueel het het driehoek boven 
B: 	het graduel kleurverschil en de 
A: 	ja 
A: 	nummer tien 
B: 	yes 
B: 	wachten die moeten jij trouwens indrukken 
A: 	ja 
A: 	dit zijn de mok met jou piramide link bovenop die verschillend kleur hebben 
B: 	ja 
A: 	die 
B: 	oké 
B: 	ik weten het G 
B: 	ik hebben degeen met het driehoek boven waar ik een kleurverschil in zien en dan een klein dinge 
A: 	ja 
A: 	nummer tien 
B: 	yes 
