B: 	je hebben het beker en om het bekert zitten een soort van kampbankje of een een kampvuurbank heen 
B: 	en op het kampvuurbank staan een soort van cakevorm 
A: 	ja 
B: 	oké 
A: 	nummer zestien 
A: 	dit zijn die een met dat kampvuurbank waar dan dat cakevormp op staat 
B: 	ja 
B: 	letter P 
B: 	het bak met het cakeblik erop 
A: 	yes 
A: 	nummer veertien 
A: 	dit zijn die een met het kampvuurtafeltje met de cakevorm 
B: 	letter N 
B: 	het kampvuurbank met het cakeblik 
A: 	yes kijken zijn moeilijk nummer tien 
B: 	jij moeten 
A: 	even kijken dit zijn met dat picknickbankje met de cakevorm erop 
B: 	yes 
B: 	letter D 
