B: 	oké ik zien een kop met een een klein vierkantje er precies boven en aan de rechterkant een ander vierkant maar die zijn wat groot 
A: 	die zitten net op het hoek 
B: 	ja 
A: 	die er eigenlijk bijna af vallen 
B: 	ja 
A: 	oké 
A: 	nummer twaalf 
B: 	oké 
A: 	oké 
A: 	deze ook al hebben 
A: 	in het midden zitten er een klein blok bovenop en dan hebben je weer zo'n blok wat er eigenlijk bijna afvlen 
A: 	die zitten helemaal rechts bovenop het kop 
A: 	dus dan hebben je eigenlijk twee 
B: 	rechtsbof 
A: 	twee vierkant op het kop 
A: 	éént zitten midden op het kop dat vierkant en de ander die ja die zitten helemaal aan de zijkant rechts 
B: 	ja 
B: 	oké ja ja 
B: 	dat zijn M 
A: 	ja 
B: 	oké ja want deze hebben ook iets naar beneden 
B: 	en dat zijn met die twee van die vierkant die waarvan er één bijna af vallen 
A: 	ja nummer vijf 
A: 	hier dat twee blok eigenlijk bovenop het kop 
A: 	één in het midden en die ander die iets groot zijn die er beetje bijna af vallen 
B: 	ja dat zijn F 
B: 	deze hebben weer die die vierkant waarvan er één bijna af vallen 
A: 	oké 
A: 	nummer negen 
A: 	weer de twee blok bovenop , waar er één bijna af vallen 
B: 	A 
