A: 	dit plaat vinden ik een beetje dit plaat hebben aan beide kant uitsteeksel een soort van arm en aan de bovenkant een bolle wat een soort van hoofd lijken 
A: 	en aan de voorkant een soort paal 
B: 	een soort dik man die voor een paal staan 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	daar komen het eigenlijk wel op neer 
B: 	dat zijn D 
B: 	oké dit zijn weer de dik man met de pilaar 
B: 	dus met het rond hoofd en die uit armp en ja 
A: 	ja moeten ik wel even vinden 
A: 	ja 
A: 	nummer vijftien 
A: 	dit zijn dat dik man met die stok in zijn rug 
B: 	ja L 
B: 	de dik man met de pilaar 
A: 	dat zijn zes 
A: 	dit zijn het dik man met de pilaar 
B: 	ja 
B: 	even kijken 
B: 	J 
B: 	dit zijn dik man met pilaar 
A: 	ja nummer drie 
