A: 	oké deze hebben zeggen maar een ei aan de voorkant 
A: 	gewoon echt voorop en er zitten een balk doorheen 
A: 	met een staaf 
B: 	ja die het lijken een beetje op een zuignap 
A: 	ja en dan daarop zitten nog een zo'n ding op zijn hoofd een soort van 
B: 	ja 
B: 	ja oké 
B: 	F 
B: 	dit zijn die een met die zuignap 
B: 	door door zijn neus 
A: 	ja even zoeken waar staan die ook weer 
B: 	met zo'n 
A: 	met dat een dinge nog op zijn 
B: 	ja 
A: 	ja 
B: 	nee 
A: 	dat zijn nummer vijf 
A: 	dit zijn die dat ei met die raar zuignap erdoorheen 
B: 	ja 
B: 	soundsounds of the waar zijn die 
B: 	ah A 
A: 	pampampa 
B: 	ja ik denken even dat die er niet zijn 
A: 	worden we naaien 
B: 	de zuignap 
A: 	ja dat zijn vijf 
A: 	die zuignap 
B: 	zuignap 
B: 	H 
B: 	de zuignap 
A: 	ja nummer vijftien 
