B: 	deze hebben een neusvormig neus 
A: 	een neusvormig neus aan de linkerkant 
B: 	aan de linkerkant 
B: 	ja 
A: 	met zo'n raar vulkaanding op zijn hoofd 
A: 	en dan twee van die uitsteeksel 
B: 	geen vulkaanding 
B: 	een balk op zijn hoofd 
A: 	die een beetje uitzien als een onderzeeër dat ding met zo'n 
B: 	ja niet niet die met die driehoek op zijn hoofd maar die 
A: 	nee met zo'n echt zo'n balk en daarnaast een soort van omgekeerd hamer of zo aan de zijkant plakken 
B: 	ja 
A: 	oké 
B: 	ja dat zijn hem 
A: 	dat zijn nummer acht 
A: 	dit zijn die een met die neus met die balk op zijn hoofd 
B: 	de neus met de balk op zijn hoofd ja one's E 
B: 	dit zijn met de neus en bak boven op zijn hoofd 
B: 	en omgekeerde hamer 
A: 	even zoeken 
A: 	ja met die balk ja dat zijn één 
A: 	dit zijn het gezicht met die balk erop 
A: 	op zijn hoofd 
B: 	ja 
B: 	E 
B: 	de neus met de balk op zijn hoofd 
A: 	ja even zoeken 
B: 	en de omgekeerde hamer 
A: 	waar staan die 
A: 	ja nummer zestien 
A: 	ja 
A: 	hebben je een neus met de balk 
B: 	oké 
B: 	O 
