A: 	oké nu hebben ik er één ik hebben één hebben een soort een bolle 
A: 	aan de zijkant aan de rechterkant en er zitten een staaf doorheen 
A: 	en aan het eind van de staaf zitten er nog een plat balle 
B: 	ja 
B: 	ja 
A: 	plat schijf veel 
B: 	en hij hebben nog zo'n soort dinge op zijn hoofd 
A: 	ja ja hebben die ook 
B: 	F 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	ik hebben dat figuur met aan de rechterkant een bolle waar een staaf doorheen staan met een plat cirkel eraan 
A: 	ja soort gootsteenontstopper 
B: 	ja die door eigenlijk een soort gootsteenontstopper door een neus 
A: 	ja 
B: 	ja 
A: 	zijn nummer vijf 
A: 	nou nu hebben we weer die gootsteenontstopper 
A: 	met de door de neus heen 
B: 	ja 
B: 	hallo 
A: 	en dinge bovenop 
B: 	ah 
B: 	met dat plat met dat plat kant 
A: 	ja 
B: 	A 
B: 	ik hebben die met die gootsteenontstopper door de neus 
A: 	nummer vijf 
A: 	ik hebben die gootsteenontstopper 
A: 	door de neus 
B: 	dat zijn bij mij H 
B: 	ik hebben die met die wcstamper of die gootsteenontstopper door de neus 
A: 	ja 
A: 	ja 
A: 	nummer vijftien 
