A: 	hij hebben een groot lang ovaal druppel boven en link 
A: 	en een kubus aan de rechterkant 
A: 	net als een trapezius dat hij zo een beetje ingekrempen zijn die kubus 
A: 	dus kubus rechts en zo'n lang druppel boven en link 
B: 	ik kunnen hem niet vinden 
A: 	dus één zo'n ovaal dinge zo 
A: 	daarboven en dan ook links 
A: 	en dan rechts een kubus 
A: 	en boven die linker zijn nog een klein heel klein uitsteeksel 
B: 	okee dat zijn e denken ik 
B: 	deze hebben dat groot vlak waar je af tegen ja die kubus weer rechts 
B: 	en een handvat boven en dan één link 
B: 	met dat klein uitsteeksel boven link 
A: 	ja 
A: 	negen 
A: 	de ovaal antenne boven en links en de kubus rechts 
B: 	j 
B: 	de kubus rechts en de twee handvat boven en link met een uitsteeksel 
A: 	ja vijfteen 
A: 	de kubus rechts en de voelspriet Erboven en link 
B: 	waar vinden ik deze 
B: 	ik kunnen hem niet vinden 
B: 	g 
B: 	kubus rechts handvat boven en handvat links 
A: 	een 
