B: 	dit voorwerp hebben een balk echt bovenop liggen 
B: 	dat zijn eigenlijk de enig die dat hebben volgens mij 
B: 	heel horizontaal er plat op liggen 
B: 	en dan hebben die aan de rechterkant een soort staaf op een dinge 
A: 	ja 
B: 	en aan de linkerkant nog een soort rond dinge 
A: 	ja dat zijn nummer acht 
A: 	ik hebben weer met dat balk boven op zijn hoofd 
A: 	en links een soort ja dinge en rechts een staaf met nog wat erbij 
B: 	ja 
B: 	dat zijn E 
B: 	ik hebben dat figuur met horizontaal balk erbovenop liggen 
B: 	en aan de rechterkant een staaf 
A: 	dat zijn nummer één 
A: 	ik hebben die met de balk erbovenop links een raar dinge en rechts een staaf met een raar dinge 
B: 	dat zijn bij mij E 
B: 	ik hebben die met die balk erbovenop 
B: 	en dan aan de rechterkant die dat staaf en aan de linkerkant zo'n half rond 
A: 	nummer zestien 
A: 	ja 
A: 	ik hebben die met de balk erboven op zijn hoofd 
A: 	link een dinget rechts een staaf 
B: 	ja dat zijn bij mij O 
