A: 	deze zijn met de eigenlijk de driehoek of pyramide aan de bovenkant van 
B: 	die wiskundig pyramide aan de bovenkant 
A: 	ja 
B: 	ja 
A: 	en aan de onderkant zitten een soort rond link zitten een soort ja pin ja 
B: 	ja 
B: 	ja 
B: 	yes dat zijn e 
B: 	de wiskundig pyramide aan de bovenkant 
A: 	zestien 
A: 	dit zijn de pyramide aan de bovenkant 
B: 	ja die wiskundig pyramide aan de bovenkant 
A: 	ja ja 
B: 	ja dat zijn d 
B: 	wiskundig driehoek aan de bovenkant 
A: 	ja nummer vier 
A: 	ja die wiskundig pyramide aan de 
B: 	yes dat zijn h 
B: 	driehoekig pyramide 
B: 	of een wat zeggen ik nou driehoekig zijn een wiskundig pyramide driehoekig 
A: 	ja 
A: 	vijf 
