A: 	okee 
B: 	eens even kijken hoor deze zijn weer wat abstract 
A: 	ja 
B: 	want hier aan de bovenkant van het kop gaan er weer een soort vlak doorheen 
B: 	waar twee poot aan zitten 
A: 	ja 
B: 	en aan de achterkant zitten er een een soort staart aan 
A: 	ja 
B: 	en een soort trapeziumfiguur staan erop 
A: 	ja een bak ja 
B: 	ja 
A: 	ja dat zijn nummer zes 
A: 	dit zijn dit zijn met dat plateau dat er doorheen zitten met die twee poot en een soort van trapeziumvorm 
B: 	ja okee dat zijn i 
B: 	deze heef het vlak erdoorheen met de twee poot en het trapezium erbovenop 
A: 	ja dertien 
A: 	deze zijn met de met het soort tafel met de poot en de trapeziumvorm erop 
B: 	ja eens even kijken waar staan die 
B: 	dat zijn f 
B: 	dit zijn de de tafel met de poot en het trapezium 
A: 	twee 
A: 	dit zijn met dat tafel met dat trapezium 
B: 	ja dat zijn m 
