B: 	okee dit ding zijn door een plat vierkant zakken 
B: 	en hebben twee dezelfde haar boven zeggen maar 
A: 	twee kuifjes hier 
A: 	ja hier 
A: 	en hij hebben zo'n arm zo 
B: 	ja 
B: 	ja 
A: 	en een langwerpig neus 
B: 	ja 
B: 	ja 
A: 	okee zijn nummer een 
A: 	deze zijn half doorgezakt door de door de tafel laten we het zo maar zeggen 
A: 	hebben zo'n arm en twee ding hierzo uitsteken 
B: 	ja dat zijn n 
B: 	deze zijn weer door de tafel zakken 
B: 	hij hebben links een kromme arm zo en twee stok omhoog 
B: 	twee haar zeggen maar 
A: 	ja en dan één zo'n raar neus die 
B: 	ja 
B: 	ja 
A: 	okee dat zijn nummer zes 
A: 	deze half door de tafel zakken met zo'n arm en hier twee van diezelfde ding 
B: 	ja l 
A: 	en een neus 
B: 	deze zijn door de tafel zakken met twee dezelfde haar 
A: 	ja en zo'n arm 
B: 	ja 
A: 	dat zijn vijfteen 
A: 	dit zijn die een die half doorgezakt zijn met twee dezelfde ding hierboven en zo ja zo'n arm 
A: 	en een soort van 
B: 	ja dat zijn a 
