B: 	ik vinden het een theekopje op een statief en dat hebben dan een driehoekig voetstuk 
B: 	en dan een draaien stang die het theekopje omhooghoudt 
A: 	ah 
A: 	ja en dan hebben die van die vierkant blok daarboven en zo 
B: 	ja twee 
A: 	ja 
A: 	ja 
A: 	wachten ik moeten hem doen vier 
B: 	ja 
A: 	oké jij noemen het volgens mij als een beker dus aan de onderkant hebben je die driehoek dan hebben je die staaf naar boven en aan de zijkant die vierkant blok dus dat worden gewoon 
B: 	ja 
B: 	met het statief 
A: 	dat noemen we vanaf nu gewoon de beker of zo of 
B: 	ja 
B: 	A 
B: 	het statief 
B: 	het theekopje op het statief 
A: 	oké ja 
A: 	acht 
A: 	of wacht 
A: 	met de soort badkuipachtig aan de onderkant of wat 
B: 	met die vier 
B: 	nee nee met de driehoek aan de onderkant 
A: 	ah die 
A: 	ja oké 
A: 	maar goed dat ik even dubbelcheckt dat zijn tien 
B: 	ja 
A: 	de ja het glas zeggen maar met dat statief onder dat vierkant statief 
B: 	ja 
B: 	driehoekstatief 
A: 	driehoek ja sorry 
B: 	ja 
B: 	L 
B: 	het driehoekstatief 
A: 	driehoekstatief ja 
A: 	met de beker zeggen maar 
B: 	ja 
A: 	dat zijn vier 
A: 	de beker met het statief 
B: 	ja F 
