A: 	deze vinden ik wel raar er zitten een soort piramide bovenop 
B: 	een soort punt ja ik hebben deze geloven ik punthoofd en er zitten een soort vierkant neus 
A: 	de ander nee dat dat zijn 
A: 	dat zijn wel de enig 
A: 	ja nog zo'n piramide alleen zijn de bovenkant van af snijden die zitten er toch ja ja ja je hebben wel de goed in ieder geval en de aan de linkerkant zitten ook iets wat op kogel lijken 
B: 	zitten er inderdaad een soort kogel waar waar alleen de punt er van in zitten 
A: 	ja ja ja 
A: 	ja 
B: 	okan J 
B: 	met een soort puntmuts op ? kogel in zijn aan de zijkant 
A: 	o ik zullen even zoeken hoor 
B: 	en vierkant neus 
A: 	o ik zien hem al ja 
A: 	ja ja met de piramide op zijn hoofd 
B: 	ja ja piramide op zijn hoofd 
A: 	ok zes 
B: 	ah 
A: 	o die met die piramide op zijn hoofd weten je wel en met dat geblokken neus met die kogel 
B: 	ja met die vierkant neus en die kogel ja E 
A: 	ja 
B: 	kogel met het piramide hoofd piramide op zijn hoofd 
A: 	ja ik zien hem al 
B: 	met vierkant neus 
A: 	ja 
A: 	tien 
A: 	die met die piramide op zijn hoofd en die kogel 
A: 	bij mij zitten hij helemaal linksboven 
B: 	o ja bij mij ook vierkant neus G 
B: 	kogel en piramide hoofd 
A: 	ok tien 
