B: 	ok deze hebben een soort van groot ronde neus een beetje aan de rechterkant aan de linkerkant zitten een soort van 
A: 	ok 
B: 	driehoek balk er boven in zitten twee uitsteeksel één zijn een beetje kegelachtig en de ander zijn een ja rechthoek 
A: 	okan dan zijn het veertien 
A: 	deze hebben een neus er zitten twee dinge in het kop één rechthoek en één ja 
A: 	beetje gekkig figuur en aan de zijkant zitten nog een soort driehoek wat in driehoekvorm lopen 
B: 	ja dat zijn N 
B: 	dit zijn met die neus en dan die twee ding bovenop 
B: 	neus zitten een beetje aan de rechterkant 
A: 	ja 
A: 	er zitten ook nog één ander ding zo'n driehoek ja negen 
B: 	ja links ja 
A: 	ja deze hebben een neus niet met die ding stang er doorheen met twee ding in het kop zeggen maar die wel verschillen en die driehoek aan de zijkant 
B: 	ja dat zijn G 
B: 	ja dit zijn met die neus en twee van die ding bovenin en link dat driehoek 
A: 	ja zijn vijf 
A: 	dit zijn met de neus niet met de staaf er doorheen met twee van die lepelt erin die wel verschillen 
B: 	ja dat zijn J 
