B: 	ja aan de onderkant zitten een soort van twistervorm die eindigen in een soort van driehoekje 
A: 	ja 
B: 	en dan rechtsboven een blok in het midden een blok aan de bovenkant 
B: 	en nog een soort van driehoek iets aan de linkerkant 
A: 	ja aan de linkerkant 
B: 	ja 
A: 	dat zijn dertien 
A: 	eens even kijken 
A: 	dit zijn de het kopvormp met daaronder dan die spiraal eindigen in de driehoek 
B: 	die ja 
B: 	ik moeten hem even zoeken 
A: 	met daarbovenop twee blok 
A: 	en het 
B: 	en het gek Driehoekjedingetje 
A: 	ja aan de linkerkant 
B: 	ja 
B: 	d 
B: 	dit zijn diegene met een soort van twistervorm die in een driehoek eindigen 
A: 	ja 
B: 	eronder 
A: 	ja ik hebben hem met de blok aan de bovenkant 
B: 	ja ja 
A: 	ja negen 
A: 	dit zijn die met de twistervorm aan de onderkant met de driehoek 
B: 	driehoek 
B: 	ja k 
B: 	dit zijn degeen met de twistervorm en die de driehoek 
A: 	ja 
A: 	ja tien 
A: 	dit zijn die met de twistervorm aan de onderkant 
B: 	ja 
A: 	en de driehoek 
B: 	driehoek 
B: 	p 
