B: 	ik noemen het de serveerster of de serveerder 
B: 	het zijn zeggen maar hij hebben een het lijken met twee poot en een bak zeggen maar of een plank 
B: 	en daarbovenop staan een bak 
B: 	hij hebben een heel klein op zijn achterhoofd een heel klein pluk 
A: 	zeggen het nog eens 
B: 	voor mijn gevoel je hebben het kop 
A: 	ja 
B: 	en dan rechts van het ongeveer bij zijn hoofd zitten een soort van bakje zo zien ik het dan 
A: 	ja op zijn achterhoofd 
B: 	nee niet op zijn achterhoofd dit zijn zeggen maar aan de rechterkant van hem dus waar zeggen maar het kop aan de rechterkant ophouden daaraan vast zitten een bak 
A: 	oké 
B: 	en daaronder zien ik een ja een plateau zeggen maar het lijken op een ja het zijn een beetje een extreem plateau met twee staaf aan de onderkant 
A: 	ah ik zien hem 
A: 	en dan met zo'n raar klein staart aan de achterkant 
B: 	op de bovenkant aan de achterkant inderdaad 
A: 	ja 
A: 	ja oké 
B: 	dus lijken net alsof er een bak op een plateau staan met twee van die 
A: 	ja ja ja ja ja 
A: 	ja ik zien hem nu 
B: 	oké 
A: 	het zijn Numero zestien 
A: 	dit zijn jou dienblad 
A: 	of deze wachten even het zijn jou dienblad 
A: 	nee het zijn een soort van volgens mij deze niet 
A: 	het zijn een soort van ja ik vinden het een soort van kop wat in een tafel zitten 
A: 	met zo'n bak erop 
B: 	ja het zijn met twee van die uitstulpsels aan de 
A: 	ja 
A: 	vinden het een soort van 
B: 	met zo'n klein dinge aan de achterkant 
A: 	ja zo'n klein dinge aan de achterkant ja 
B: 	ja 
B: 	dat zijn mijn serveerster inderdaad 
A: 	ja toch wel 
B: 	dan gaan het om P 
B: 	mijn serveerster 
A: 	even kijken welk zijn dat ook al eens weer 
A: 	zijn dat met dat plank en dat met die met die 
B: 	met het bak zeggen maar ja met die twee uitstulpsel daaronder 
A: 	ja ja 
A: 	dat zijn Numero veertien 
B: 	met zo'n heel klein 
A: 	ja 
A: 	Numero veertien 
A: 	jou serveerster 
B: 	dat zijn letter N tweepoot N 
B: 	dit zijn mijn serveerster 
A: 	dat zijn Numero tien 
A: 	jou jou serveerder jou jou dienblad 
B: 	ja dat gaan om D 
