B: 	oké deze zijn een soort van ik zien het een beetje als gezich en zo'n komme en er zitten een ei voorop plakken weten je nog dat we die een hebben met die door die neus heen 
B: 	weten je nog dat we die hebben 
A: 	die Pinokkio 
B: 	ja 
A: 	ja 
B: 	nee dat we die een hebben waar die door die 
A: 	ja die neuspiercing 
B: 	ja 
A: 	ja 
B: 	dus dezelfde soort vorm als neus zeggen maar en dan voorop hoog 
A: 	ja 
B: 	en dan aan de zijkant één balk en boven ongeveer twee twee soort van verschillend balk 
A: 	ja twee ja 
A: 	ja 
A: 	dan weten ik welk je bedoelen dat zijn bij mij veertien 
A: 	dit zijn dat gezicht met die die rond neus 
A: 	die twee tentakel bovenop één rechthoekig en de ander ja 
A: 	beetje veelvormig zo'n kegel met een rond eigenlijk 
A: 	en dan nog naar de zijkant een driehoekig uitsteeksel 
B: 	dat zijn N 
B: 	dit zijn ja die pot met die ei voorop 
B: 	en dan die kegel boven en het recht rechthoek boven en aan de zijkant zeggen maar zo'n schuin armp 
A: 	ja zo'n 
A: 	ja zo'n driehoek nog 
B: 	ja 
A: 	ja 
A: 	ja deze hebben ik als clown noemen 
B: 	oké 
A: 	dat zijn negen bij mij 
A: 	ja dit zijn voor mij dus die clown dus die bolneus die twee tentakel omhoog en één aan de zijkant 
A: 	één zijn die bol met die kegel en recht staaf omhoog 
A: 	en de ander de driehoek aan de zijkant 
B: 	dit zijn G 
B: 	dit zijn wat jij die clown noemen 
A: 	oké dus met die die bolneus 
B: 	ja 
A: 	even zoeken 
A: 	twee tentakel omhoog één naar rechts 
A: 	dat zijn nummer vijf 
A: 	dit zijn mijn clown 
A: 	dus met de bolneus twee omhoog en één 
B: 	dat zijn J 
