B: 	hier hebben we het net over die schijf maar dit keer aan de onderkant 
A: 	aan de onderkant 
A: 	ja 
B: 	ja 
A: 	dat zijn dan twee 
B: 	ja 
A: 	dit zijn weer de plaat aan de onderkant 
B: 	okee duidelijk 
B: 	dat zijn h 
B: 	dit zijn een groot vierkant plateau aan de onderkant plakken 
A: 	met twee 
B: 	met een rond schijf aan de voorkant van het kop 
A: 	ja 
A: 	dat zijn dertien 
A: 	dit zijn de plaat aan de onderkant 
B: 	de groot schijf aan de onderkant 
A: 	ja 
B: 	dat zijn m 
B: 	groot vierkant schijf aan de onderkant plakken 
B: 	rond schijf aan de voorkant 
A: 	ja negen 
A: 	plateau aan de onderkant 
B: 	n 
