B: 	oké ik hebben er nou één met volgens mij zijn dat de enig van al plaat waarbij aan de bovenkant hebben je twee stok zeggen maar 
B: 	en dan hebben je aan de 
A: 	in het midden zo'n plaat erdoorheen zeggen maar 
B: 	ja die 
A: 	oké 
A: 	dat zijn bij mij nummer zes 
A: 	ja 
A: 	oké 
A: 	druk ik op geel 
A: 	ik hebben nu één met die twee staaf Erboven en zo'n plaat door het midden 
B: 	ja en dan nog zo'n ja een soort van een rond wat er ook uit opsteken 
A: 	ja zo'n slurf of zo 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	we hebben nou weer die een met zeggen maar die schijf door het dinge en dan weer met die twee 
B: 	ja die twee 
A: 	staaf erop 
B: 	staaf erbovenop ja 
A: 	ja 
A: 	en die slurf aan de voorkant zeggen maar 
B: 	ja 
A: 	nummer dertien zijn dat bij mij 
A: 	die met die twee uitsteeksel Erboven en die plaat erdoorheen 
A: 	ongeveer in het midden onder liggen die bij mij 
B: 	ja 
B: 	bij mij zijn dat J 
B: 	weer die een met die twee staaf zeggen maar aan de bovenkant 
A: 	met die plaat door het midden 
B: 	ja 
A: 	nummer negen 
A: 	die staan bij mij ongeveer in het midden boven met twee van die antenne en zo'n plaat erdoorheen zeggen maar en die slurf 
B: 	ja even zoeken 
