A: 	deze hebben een een cirkel aan de rechterkant die eruitziet alsof het zeggen maar 
A: 	dat je daar een glas op kunnen voortzetten 
B: 	bijzetting ja 
A: 	en en links zijn een een groot uitsteeksel die een beetje bred worden 
B: 	ja 
B: 	k 
B: 	deze hebben dat bijzettafel soort van en die uitsteeksel met die dat ding wat omhoog gaan 
A: 	ja 
A: 	zijn hem ik zijn hem aan het zoeken 
A: 	daar 
A: 	vijf 
A: 	die bijzettafel 
B: 	ja 
B: 	even kijken waar die blijven zijn ja g 
B: 	deze hebben het bijzettafel eraan en dan aan de ander kant dat ding wat eruit komen 
A: 	ja 
A: 	vijf 
A: 	dit zijn die bijzettafel 
B: 	l 
B: 	deze hebben het bijzettafel 
A: 	veertien 
