B: 	hij hebben zeggen maar van die verrekijker naar links en dan hebben die 
A: 	ja ik weten welk je bedoelen dat zijn twee 
A: 	en zo'n vierkant 
A: 	zo'n plat vierkant erop plakken en een antenne 
B: 	ja 
A: 	ja dat zijn twee 
A: 	dit zijn degeen met de twee verrekijker 
A: 	en zo'n antenne bovenop 
B: 	ja en het vlak ervoor 
A: 	ja 
B: 	G 
B: 	dit zijn die verrekijker met die blok en dan dat vlak ervoor 
A: 	wachten even ja twee verrekijker 
B: 	ja 
A: 	ja negen 
A: 	ja 
A: 	dit zijn degeen met de twee verrekijker en de antenne 
B: 	d 
B: 	dit zijn die met dat vlak aan de voorkant en twee verrekijker 
A: 	ja één 
A: 	dit zijn degeen met de twee verrekijker 
B: 	ja B 
