B: 	oké dit zijn een kop met lijken zo'n dik neus te hebben aan de voorkant 
B: 	en hebben die één soort van kwast nog eruit 
B: 	en nog twee uitstulpsels 
A: 	oké wachten nog een keer 
B: 	ja zo'n dik rond hebben die aan de voorkant 
A: 	helemaal aan de voorkant echt 
B: 	ja je hebben net zoals die inboorling 
A: 	ja 
B: 	maar dan zonder die neuspiercing 
A: 	oké en dan hebben die bovenin nog twee twee dinget 
B: 	ja en aan de zijkant ook nog één 
A: 	ja ook zo'n zo'n driehoek oké dat zijn bij mij nummer veertien 
B: 	ja 
A: 	die een met die die lijken op die inboorling maar dan zonder de neusring en dan nog allemaal die tierelantijnt 
B: 	ja 
B: 	dat zijn bij mij nummer N 
B: 	niet 
B: 	letter N weer 
B: 	ik hebben met die gewoon neus 
B: 	niet de inboorlingneus 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	die met die een neus zonder de ring 
B: 	ja dat zijn G 
B: 	ik hebben de nietinboorling 
A: 	met de neus 
B: 	de gewoon neus 
A: 	nummer vijf 
A: 	die met die een en een gewoon neus 
B: 	ja zijn J 
