A: 	oké ik hebben één ja wat zijn het 
A: 	ja hoe ik dit hebben omschrijven zijn heel erg 
A: 	zo ja ik denken iets van een poppe en die hebben dan zo'n hand aan de zijkant en daar zitten zo'n steel doorheen met een rond 
A: 	alsof die zoiets vast hebben 
A: 	en op zijn hoofd zeggen maar zitten nog één zo'n sprie 
B: 	ja ja 
B: 	even kijken 
B: 	het lijken een beetje op een stamper die je zo in de ijsthee 
A: 	ja op zo'n soort ontstopper of zo weten je wel 
B: 	ja 
B: 	ja 
A: 	ja een stamper ja 
B: 	ja zijn het F 
B: 	dit vinden ik een beetje op een appel lijken 
B: 	het steelt van de appel staan helemaal staan iets naar Linksboven en dan staan die iets ook naar links toe 
B: 	aan de voorkant zitten die ja die stamper zitten door die neus heen zeggen maar 
A: 	ja ja 
A: 	even kijken waar zijn die 
A: 	ik weten welk je bedoelen maar ik zien hem even niet 
A: 	ja 
A: 	nummer vijf 
A: 	dit zijn die appel 
A: 	met dat dinge vast zeggen maar die jij op een appel vinden lijken 
B: 	de door zijn neus heen zeggen maar 
A: 	ja 
B: 	ja dat zijn A 
B: 	dit zijn die appel met dat ding door zijn neus 
A: 	ja 
A: 	nummer vijf 
A: 	dat zijn dat appel en dat ding wat door zijn neus gaan 
B: 	ja H 
B: 	het appel met dat ding door zijn neus 
A: 	ja 
A: 	nummer vijftien 
