A: 	dit zijn een heel erg druk bak met bovenop een soort van feesthoed 
A: 	wat hij hebben 
B: 	ja ja ja 
A: 	en linkerkant zitten nog een klein 
B: 	zijn een soort vogel als je hem op zijn zij kijken 
A: 	als je zo kijken als je ja dan lijken hij op een vogel , goed , ja 
B: 	ja 
B: 	en dat zijn een G 
B: 	dat zijn de vogel op zijn kant 
B: 	of met een feesthoed op 
A: 	ja dat zijn nummer elf 
A: 	de bak met het feesthoed 
A: 	aan linkerkant weer een een uitsteeksel 
A: 	rechterkant zitten een 
B: 	ja 
B: 	dat zijn M 
B: 	vogel op zijn zij 
B: 	met een feesthoed op van de bovenkant van de voorkant gewoon zien 
A: 	nummer zeven 
A: 	het vogel met het feesthoed 
B: 	G 
B: 	vogel met een feesthoed op 
A: 	nummer negen 
