B: 	ja deze hebben eigenlijk een ja hoe noemen je zo'n ding ook alweer 
B: 	zeggen maar een one's zeggen maar twee soort van prisma aan de zijkant en een ik weten even niet veel hoe je een lang vierkant noemen 
A: 	een balk 
B: 	ja een balk aan de bovenkant eigenlijk in principe 
A: 	een balk aan de bovenkant 
B: 	ja 
A: 	en hebben die aan de rechterkant hebben die zo'n uitsteeksel en daar staan nog een dinge bovenop 
B: 	ja 
B: 	zo'n soort cilindertje bovenop 
A: 	zo'n cilinder erbovenop 
B: 	ja 
A: 	oké ja dan zijn het acht 
A: 	deze hebben een soort balk bovenop 
A: 	en dan een 
B: 	die prisma weer aan de zijkant 
A: 	drie prisma aan de zijkant ja 
B: 	oké dan zijn het bij mij E 
A: 	oké 
B: 	dit zijn die met dat balk bovenop en die prisma aan de zijkant 
A: 	ja wachten waar zijn die ? ja dat zijn bij mij één 
A: 	dit zijn met die balk bovenop en die die prisma 
B: 	even zoeken hoor 
B: 	ja dat zijn bij mij E 
B: 	die met die balk bovenop en die prisma 
A: 	de bal en de prisma 
B: 	balk 
A: 	balk ja ja 
A: 	ja hebben ik 
A: 	dat zijn nummer zestien 
A: 	dit zijn met die balk bovenop en de prisma 
B: 	als ik hem kunnen vinden 
B: 	dat zijn O 
