A: 	oké dus je hebben dat komme 
A: 	bovenop liggen dus weer dat rond bolle 
A: 	en 
A: 	net als wat dat neus wat je daarnet hebben 
B: 	dat neus 
A: 	zeggen maar zo'n bolle 
A: 	die liggen erbovenop en dan daarvoor staan een een een balk 
A: 	en aan de zijkant van het komme zitten zeggen maar twee armp die beetje rondlopen 
B: 	ja 
B: 	ja 
B: 	ja oké 
B: 	d 
B: 	er zijn een bak en het bak hebben twee arm deze hebben jij al voor mij doen net 
B: 	en hij hebben een neusje op zijn hoofd 
B: 	zeggen maar zo'n bolle 
A: 	ja ik zoeken hem even 
B: 	geen probleem 
B: 	en voor hem staan een balk 
A: 	ja 
A: 	yes 
A: 	nummer vijftien 
A: 	dit zijn die een waar dat bolle bovenop liggen en dat rechthoekig staaf ervoor staan en dan twee rond dinge aan de zijkant twee armp 
B: 	ja 
B: 	letter L 
B: 	hij hebben een balk voor zich en hij hebben een rond bolletje boven hem en hij hebben twee van die ijzerig armp 
A: 	ja 
A: 	nummer zes 
A: 	dit zijn die een waar dat bolle op liggen en dan met die rechthoekig staaf ervoor en die twee armp 
B: 	yes 
B: 	letter J 
B: 	hij hebben een balk voor zich hij hebben twee armp en een balle op zijn hoofd 
A: 	ja 
A: 	nummer drie 
