B: 	ik hebben één met die emmer met dan de een balk bovenop dus een langwerpig balk bovenop 
B: 	aan de voorkant zitten een zitten een een zo'n driehoek 
A: 	zo 
A: 	ja precies 
B: 	en aan de zijkant zitten ik denken een beetje dat het een soort soort kip zijn achtig soort vleugelt 
A: 	ja dan hebben ik hem al 
A: 	van die 
A: 	ja ja ja nou zien ik hem ook ja ja 
B: 	fantasie gebruiken 
B: 	ja 
A: 	dat zijn acht 
A: 	ja dit zijn ja die kip van jou 
B: 	die kip van mij die kip van mij die kip waar staan die 
B: 	ja dat zijn met dat blok bovenop 
A: 	die 
A: 	ja met die V en dan die twee dinge aan de 
B: 	ja ja ja ja 
B: 	dat zijn E 
B: 	ik hebben de kip met dat balk bovenop 
A: 	ja ja ja 
A: 	even kijken waar staan die 
A: 	even zoeken 
A: 	waar hebben ik dat ding nou 
A: 	daar 
A: 	één zijn dat 
A: 	ja dit zijn die kip van jou 
B: 	ja 
B: 	dat zijn E 
B: 	zelfde plek 
B: 	kip 
A: 	die kip 
A: 	waar staan die 
A: 	ah zestien 
A: 	zestien 
A: 	voor de duidelijkheid 
A: 	dit zijn die kip van jou 
B: 	ja 
B: 	dat zijn O 
