A: 	okee nu zijn ik weer nummer nee dat hebben geen zin 
B: 	ja je mogen het nummer niet zeggen nee 
A: 	er zijn een balk aan de voorkant 
B: 	een balk aan de voorkant 
A: 	die zien je echt helemaal zeggen maar daarachter zitten het komme en daarbovenin zitten een zitten een soort eivormig balle 
B: 	okee staan die 
A: 	maar die zien je niet helemaal 
B: 	die die balk staan die recht naar of rechtop 
A: 	ja 
B: 	okee 
A: 	en rechts aan het komme en dan zitten er een soort van twee handvatjes die lopen zo eigenlijk door 
B: 	ja ja okee dat zijn l 
A: 	okee 
A: 	okee 
B: 	eens even kijken hoor nou deze dit zijn het kop met de balk die recht naar beneden staan en het bijna heel ei aan de bovenkant met de twee fiets fietshandvaten 
A: 	ja 
A: 	ja heel goed negen zijn dat 
A: 	deze hebben die balk aan de voorkant en dat ei op het komme dat je niet helemaal zien 
A: 	en die fietshandvat noemen je dat net 
B: 	ja eens even kijken hoor ah daar dat zijn b 
B: 	deze hebben de de staaf aan de voorkant het ei bovenop en de fiets Fietshendels 
A: 	ja vijfteen 
A: 	dit zijn met de balk aan de voorkant en dat ei en de fiets 
B: 	ja eens even kijken dat zijn c 
B: 	dit zijn de balk aan de voorkant ei aan de bovenkant en de fiets handvat 
A: 	nummer vier 
