A: 	ik hebben er één die hebben twee dezelfde vormp één recht op het midden zo'n langwerpig en één aan de zijkant ook zo'n langwerpig 
B: 	die soort van kegel van bowling 
A: 	ja ja 
B: 	ja 
A: 	en nog zo'n soort van verrekijker tenminste zo hebben ik hem 
A: 	met van die vierkant 
B: 	ja 
B: 	ja dat zijn E 
A: 	oké 
B: 	het zijn de kegel erbovenop een kegel naar die kant richten denken ik en dan hebben die hier zo'n verrekijkerachtig ding 
A: 	ja 
B: 	en dan nog een soort van bikinibroekachtig uitlaat aan de die kant 
A: 	even kijken wachten ik zijn even aan het zoeken ja Bingo 
A: 	elf 
A: 	dit zijn degeen met één verrekijker en zo'n kegel hier en een kegel aan de zijkant 
B: 	ja J 
B: 	het zijn die met een kegel op zijn hoofd en een kegel als neus en dan een verrekijker 
B: 	en dan nog een mormel 
A: 	ja 
A: 	negen 
A: 	mormelt 
A: 	dit zijn degeen met één verrekijker 
A: 	en die twee kegel 
B: 	god 
B: 	ja B 
B: 	het zijn die met een kegel erop kegel als neus en een verrekijker 
B: 	en nog een dinge 
A: 	ja 
A: 	vier 
