B: 	deze hebben een een wat lang rechthoekig blok op de bovenkant 
B: 	wat dikk ook 
B: 	en aan de zijkant een soort van stamperachtig bedoeling 
B: 	waarbij je dus een zo'n zo'n kegel hebben met met iets eraan 
B: 	en aan 
A: 	okee 
B: 	dat zijn aan de rechterkant dus aan de linkerkant zijn een soort van zijn een beker aan de Linkeronderkant 
B: 	ik weten niet of je die zien 
B: 	dat zijn ook vrij basic 
B: 	de 
A: 	wachten welk ? sorry horen 
B: 	nee maken niet uit 
B: 	okee je je hebben dan 
B: 	letlen op die bovenkant dus want er zijn niet veel bovenkanten met een rechthoekig blok 
A: 	ja 
A: 	ah ja ik weten al welk ja bedoelen ja 
B: 	zien je hem 
B: 	ja okee want dan dan 
A: 	en dan rechts zitten zeggen maar zo'n schep en dan links zo'n soort van beker ja 
B: 	ja 
B: 	ja ik ja ik denken dus ik zien er een beetje zo'n stamper in maar inderdaad ja ik ik snapen wel wat jij ook wel bedoelen inderdaad 
A: 	ja kloppen ja 
A: 	ja dat zijn veertien zijn dat dan 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	deze zijn met dat rechthoek bovenop 
A: 	en dan rechts dat schep en dan links die beker 
A: 	waar we het toen over hebben 
B: 	ja ik ik zoeken hem maar ik kunnen hem heel even niet 
A: 	gewoon die lang rechthoek bovenop 
B: 	Jesus waarom lukken het niet dan nu niet om hem te vinden 
B: 	ik kunnen ik kunnen hem niet vinden 
B: 	wachten waar wachten even 
B: 	leggen leg 
B: 	wat wat zien je aan de voorkant 
A: 	voorkant zitten rechts zo'n staaf met zo'n zo'n bakvormpje eraan 
A: 	link zitten zeggen maar zo'n beker maar dan ondersteboven 
A: 	en dan de bovenkant 
B: 	zitten een zitten een rechthoek blok 
A: 	ja zo'n rechthoekig blok ja 
B: 	ja okee 
B: 	wauw 
B: 	dat zijn l 
B: 	deze zijn met die pedaal weten je wel en de of die sorry die stamper en die en dat beker aan de onderkant 
B: 	en daarovenop zitten dat rechthoek 
A: 	ja vijfteen 
A: 	dit zijn met die met dat lang rechthoek bovenop en dat schep rechts 
A: 	en dat beker link 
B: 	ja ik snapen welk je bedoelen maar ik moeten heel even zoeken waar die 
B: 	kijken ik er overheen 
B: 	ja ah ja ik zien hem 
B: 	d 
B: 	dit zijn eigenlijk het enig object met dat rechthoek blok rechthoekig blok aan de op de bovenkant 
B: 	rechts hebben je dat schep en link dat beker 
A: 	ja 
A: 	maar die kunnen ik nu ook opeens ook heel moeilijk vinden 
B: 	ja dat zijn zuur 
A: 	ja acht 
B: 	nice 
A: 	dit zijn weer met dat lang rechthoek bovenop 
B: 	ja die zijn ik dus 
B: 	ja ja ja met die met dat beker en die dat schep 
A: 	ja 
A: 	ja kloppen ja 
B: 	ja ja 
B: 	e 
