B: 	het lijken alsof het er zijn eerst een soort van plateauachtig iets in een driehoek dan een staaf en dan komen het beker dus zijn hij zweeven iets hoog in de lucht 
B: 	en dan hebben je even kijken twee vierkant bovenop één die uitsteken aan de rechterkant één die er gewoon op staat 
B: 	en aan de linkerkant nog een een uitsteeksel van iets 
A: 	zitten zijn het alsof het beker laten maar zeggen in een houder worden zetten 
B: 	liggen eraan wat voor houder 
A: 	laten maar zeggen een soort vierkantachtig houder waarin je het in zullen zetten laten maar zeggen 
A: 	en dan steken er twee streep daar bovenuit 
B: 	nee nee nee geen twee streep 
A: 	okee 
B: 	ik snapen welk je bedoelen nee dat zijn hem niet 
A: 	ah okee 
B: 	even kijken het zijn echt zo'n je hebben eerst een plateau en dan zo'n ding en dan komen het beker 
B: 	dus alsof hij gewoon iets hij hij zijn sowieso wat boven in de lucht als je hem zullen neerzetten 
A: 	okee en dat plateau dat zitten zeggen maar in de beker laten maar zeggen 
A: 	of wat bedoelen je met plateau precies 
B: 	nee 
B: 	nee eerst een plateau 
B: 	soort van wijnglasidee 
B: 	hebben je ook eerst een soort van plateau en 
B: 	nou alleen dit wijnglas zijn scheef 
B: 	een beetje 
A: 	okee 
A: 	en dan zitten er aan de bovenkant een soort vierkant rechts 
B: 	ja 
A: 	en dan 
B: 	en dan een vierkant in het midden en aan de linkerkant nog iets 
A: 	dus alsof het dus een soort stroomp zijn en dan eindigen in een soort driehoek 
B: 	ja 
A: 	dus de wijnglas laten maar zeggen als je hem neer zullen voortzetten staan hij op een driehoek 
B: 	ja ja 
A: 	okee dan zijn het nummer tien 
A: 	ja dit zijn laten maar zeggen weer die wijnglas 
A: 	dus laten maar zeggen met een staaf aan de onderkant met een driehoek 
B: 	ja 
B: 	ja ik weten hem 
B: 	ja 
A: 	en die drie blok boven 
B: 	ja dat zijn j 
B: 	het wijnglas 
A: 	dat zijn nummer twaalf 
A: 	de wijnglas 
B: 	ah ja p 
B: 	het wijnglas 
A: 	ja dat zijn even kijken nummer zes 
A: 	wijnglas 
B: 	dat zijn a 
