B: 	dit zijn de tulp die jij zeggen dus in ieder geval dan hebben je het vierkantje rechts bovenin klein vierkantje in het midden 
A: 	ah 
A: 	ja 
B: 	en wat naar links rechthoekigachtig ding en dan die slurf 
A: 	ja 
B: 	lang ding omheen 
B: 	oké 
A: 	oké dat zijn vier 
A: 	oké dit zijn wat ik de tulp noemen 
B: 	ja 
B: 	ja ja ja 
A: 	dus ja met die verdraaien steel en op zo'n soort driehoek waar die dan op staat 
B: 	ja sorry A who oké A 
A: 	ja maken niet uit 
B: 	oké dit zijn de tulp 
A: 	yes 
A: 	dat zijn tien 
A: 	dit zijn de tulp 
B: 	de tulp ja dat zijn L 
B: 	dit zijn de tulp 
A: 	oké dat zijn vier 
A: 	dit zijn de tulp 
B: 	ja F 
