A: 	deze hebben een soort sprie aan de achtekrant die naar achter wijzen 
A: 	met zo'n bolle voorop met een staaf door dat bolle heen en een plat rond aan de rechterkant van die staaf 
B: 	okan ja ik ik noemen het zelf een neus 
A: 	ik vinden dat 
A: 	ja precies dat vinden ik ook een neus met zo'n dinge er doorheen met een zo'n soort weetjewel zo'n ding wat je in een ijsthee dinge hebben waar je die citroen mee kunnen stampen 
B: 	en hij zijn doorboren 
B: 	ja 
B: 	ja of zo'n nerf pijlt 
A: 	het lijken 
A: 	ja alsof dat 
A: 	ja precies alsof dat er doorheen zitten en aan de achterkant zo'n druppel die naar achter wijzen alsof hij zo'n kuifje hebben wat naar achter wijzen 
B: 	okan ja dan zijn het voor mij F 
A: 	ok 
B: 	dit zijn met die doorboren neus en een lepeltje sprie kuifje 
A: 	ja 
A: 	ja dat zijn vijf 
A: 	dit zijn die met die umstaaf door zijn neus 
A: 	dat sprie naar achter en die 
B: 	en die kuif 
A: 	ja ja 
B: 	ok dat zijn voor mij A 
B: 	dit zijn die doorboren neus met de kuif 
A: 	ja 
A: 	ja dat zijn nummer vijf 
A: 	ja dit zijn die met die neus met zo'n ding er doorheen en die kuif achterop 
B: 	ja dat zijn voor mij H 
B: 	dit zijn de doorbooren neus met een kuifje 
A: 	ja dat zijn nummer vijftien 
