A: 	oké 
A: 	aan de bovenkant zitten eigenlijk dat vormp wat we net niet echt kenden alleen dan iets groot 
B: 	aan de bovenkant 
A: 	ja dus eigenlijk een soort driehoek maar dan zonder punt 
B: 	ja en dan zitten er aan de rechterkant zeker twee uitstekend paal 
A: 	die zijn afgesneden 
A: 	ja zitten twee streep 
B: 	ja 
B: 	dat zijn J 
A: 	ja 
B: 	oké deze hebben twee gelijk rechthoeak aan de rechterkant 
B: 	en een als je hem doortreken worden het een piramide 
A: 	ja 
A: 	ik weten welk je bedoelen , nummer zestien 
B: 	oké 
A: 	oké dit hebben weer aan de bovenkant een half piramide die laten maar zeggen afgesneden zijn 
A: 	en aan de of aan de rechterkant zijn twee rechthoeak 
A: 	die uitsteken 
A: 	even groot 
B: 	ja dat zijn B 
B: 	deze hebben een een piramide op het kop die afbreken zijn en aan de rechter zijkant twee rechthoeak 
A: 	kijken moeten nog even zoeken waar die staan 
A: 	ja 
A: 	nummer vijfteen 
A: 	oké deze hebben aan de rechterkant twee gelijkvormig rechthoeak 
A: 	en een half piramide eigenlijk driehoek 
A: 	die afgesneden zijn 
B: 	dat zijn F 
B: 	de afbreken piramide en de twee rechthoeak aan de zijkant 
B: 	aan de rechterkant 
A: 	ja nummer zestien 
