A: 	ik noemen deze kaneelstaaf 
A: 	omdat die links hebben die een kaneelstaaf uit uit hoofd komen 
A: 	en boven het kaneelstaaf hebben je een soort van zo'n Batmanlogo schijnlich 
B: 	wachten even we hebben er volgens mij hebben we ze allemaal hebben behalve één 
A: 	en met dan 
A: 	ja 
B: 	zijn het die ik noemen noemen ik die toeter 
A: 	en 
B: 	zullen dat kunnen 
A: 	weten ik veel 
B: 	hebben die zo'n plat schijf voor zich 
A: 	ja rechts 
B: 	ja 
A: 	ja 
B: 	en ja ja ja 
B: 	L 
A: 	ah nou rechts naast zich dan 
B: 	ja rechts naast zich hebben die die plat schijf 
A: 	oké 
A: 	negen 
B: 	L negen 
A: 	yes 
B: 	dit zijn die laat die we net hebben dus die toeter noemen ik hem en met die met dat schotel voor dat Batman teken 
A: 	ja ja ja 
A: 	welk zijn die 
B: 	M 
A: 	M van Mieke 
B: 	Merel ja 
A: 	ja Mieke weten ik veel M zeven 
A: 	Batmanlogo kaneelstokjeten helikopterplatform aan de zijkant 
B: 	ja 
B: 	C en bij jou 
A: 	vijftien 
B: 	C vijftien 
B: 	oké dit zijn de toeter de Batmantoeter met het schotel aan de voorkant 
B: 	of aan de rechterkant 
A: 	oké 
B: 	O 
A: 	O één 
A: 	die ik kaneelstaaf noemen bij mijn logo Erboven die 
B: 	ja 
B: 	A 
A: 	A drie 
B: 	A drie 
A: 	yes 
B: 	de de toeter de Batman Batmanlogo 
A: 	ja 
B: 	P 
A: 	P dertien 
