B: 	oké 
B: 	ik hebben het rood vierkant dus 
A: 	ja 
B: 	deze hebben een soort van uitsteeksel naar links hij staan zo op een soort standaard een breed standaard volgens mij zijn dat er maar één toch 
A: 	ja even kijken hoor 
B: 	en hij hebben een cirkel aan de achterkant 
A: 	even kijken ja en aan de rechterkant zo'n kegel laten maar zeggen bovenop 
B: 	ja dat zijn hem 
A: 	en aan de linkerkant steken ook nog iets uit 
B: 	ja 
A: 	oké 
B: 	en nou moeten jij hem zeggen geloven ik 
A: 	ja 
A: 	nummer dertien 
B: 	oké geel 
A: 	ik hebben die een met een soort van half cirkel bovenop 
A: 	en weer zo'n uitsteeksel rechts bovenop 
B: 	ja en een uitsteeksel links en een ding eronder 
A: 	ja 
B: 	dat zijn O 
B: 	dit zijn die een met de half cirkel aan de achterkant 
A: 	ja 
B: 	en een kegel rechts 
A: 	ja 
A: 	zijn bij mij nummer acht 
A: 	ik hebben diegene weer met dat half cirkel bovenop 
A: 	en het staan op dat vierkant 
A: 	of op dat ja rechthoekig ding laten maar zeggen 
B: 	even kijken het half cirkel bovenop 
A: 	ja links bovenop staan die half cirkel 
B: 	dat een ding 
B: 	dat zijn C 
B: 	dit zijn die een met de cirkel aan de achterkant of de half cirkel en dan een 
B: 	hij staan op zo'n standaard 
A: 	nummer zeven 
A: 	ik hebben die een met die half cirkel bovenop 
B: 	en dat op zo'n houdert zeggen maar 
A: 	ja 
B: 	dat zijn C 
A: 	dat zijn hem 
B: 	hallo 
