A: 	best veel 
A: 	oeh 
A: 	ja zo'n zo'n hu puntig hu 
A: 	op zijn kop 
A: 	een beetje open 
A: 	en dan driehoek zo op zijn kop 
B: 	dat zijn een driehoek op zijn kop 
A: 	ja 
B: 	en aan de zijkant aan de linkerkant zien je daar een beetje zo'n 
A: 	bij mij zijn het een driehoek 
A: 	een kogel zeggen maar 
B: 	ja een kogel 
B: 	ja 
B: 	J 
B: 	dit zijn die met die piramide boven op zijn kop 
A: 	en dan zo'n kogel aan de kant 
B: 	ja 
A: 	oké 
A: 	zes 
A: 	ja dat dat dat scherp driehoek en dan zo'n kogel aan de zijkant 
B: 	ja 
B: 	E 
B: 	die met de driehoek bovenop en de kogel 
B: 	aan de zijkant 
A: 	nummer tien 
A: 	dat dat kogel en dan dat driehoek zo 
A: 	die heel scherp driehoek 
B: 	die kogel en de driehoek bovenin 
A: 	jou beurt 
A: 	waar zijn je 
A: 	tien 
