A: 	ok hij hebben twee dezelfde soort uitsteeksel ja het zijn een beetje ovaalachtig maar wel redelijk smal zitten er één aan de bovenkant en één aan de zijkant 
A: 	en hij hebben ernaast nog vierkant die steeds iets groot worden dus ze lopen eigenlijk een beetje 
A: 	uit dus het beginnen heel klein vierkantje en dan worden ze steeds iets groot en dat steken eigenlijk schuin naar voren 
A: 	en dan hebben je aan de ander kant zitten dan ja eigenlijk zo'n beetje zo'n buisje of zo en aan de achterkant steken ook nog iets uit 
B: 	die snap ik niet helemaal 
A: 	nou je hebben in ieder geval ok ik gaan even op de vierkan in die opzitten ongeveer op twee drie van het kop aan de bovenkant 
B: 	o 
A: 	en of aan de zijkant 
B: 	o het zijn het zien uitzien het eruit als een theekop 
A: 	ja en dan eigenlijk een heel groot lepel erin 
B: 	ja 
A: 	en aan de zijkant allemaal vierkant die groot worden 
B: 	ja dan zijn het E 
A: 	ok 
B: 	ja dit zijn dat theekanne zeggen maar met het lepel eruit en die vierkant die steeds klein worden 
A: 	ja ik moeten heel even kijken 
A: 	waar zijn hij 
A: 	het vierkantje worden steeds klein 
B: 	ja er zitten zeggen maar zo'n tui aan de een kant zo'n lepel achtig ding in en er zitten nog iets aan de voorkant 
A: 	kijken ik nou zo scheel 
A: 	wachten zat die vierkant zitten zitten die richting de voorkant 
A: 	eigenlijk schuin naar één 
B: 	ze gaan zeggen maar naar het object toe 
A: 	ja en dan worden ze klein 
B: 	ja 
A: 	en aan de er zitten nog twee ander ding aan het kop 
B: 	ja er zitten nog één ding Erboven in en één ding aan de voorkant op en zitten nog één zeggen maar soort van tui aan de achterkant 
A: 	ja 
A: 	ok dat zijn elf 
A: 	dit zijn weer met dat lepel erin aan de voorkant zitten weer zo'n vierkant wat steeds klein worden 
A: 	aan de ander kant en dan zitten er eigenlijk nog aan de achterkant zitten nog een uitsteeksel en aan de zijkant zitten nog eenzelfde uitsteeksel wat ook in het kop zitten 
B: 	zeggen maar die theepot die beetje zo lopen met dat tui 
A: 	ja 
B: 	okan dan zijn het J 
B: 	ja dit zijn die theekan met die vierkant die klein worden aan de zijkant 
A: 	God 
B: 	één lepel bovenin 
A: 	ja ik weten 
B: 	bij mij staan hij rechtsonder maar ik weten niet 
A: 	nee want het zijn bij zelfde soort vierkant als bij de spijker 
A: 	met die we net hebben 
B: 	ja maar dan zijn het er maar één en hij hebben zeggen maar zo'n groot ja rond ding aan de bovenkant en aan de voorkant ook nog één 
A: 	hij staan er gewoon echt naast negen 
A: 	ja dit zijn volgens mij zijn dit de theekop die zo met die vierkant die uitliepen en één lepel erin en 
B: 	ja dat zijn B 
B: 	dit zijn het theekopje met die vierkant die klein worden 
