B: 	ah gaan best soepel dit 
A: 	okee 
A: 	ja gaan prima aan de rechterkant van het komme het komme zijn in het midden en bovenin zitten een steel 
B: 	ja 
A: 	en linksonder zitten een steel die hebben dezelfde vorm en aan de rechterkant zitten eigenlijk een soort uitstulpsel dat vier kubus hebben die steeds klein worden 
B: 	okee 
B: 	ja 
B: 	okee 
B: 	dat zijn j 
A: 	okee 
B: 	even kijken hoor deze hebben weer die vier kubus eraan aan de rechterkant en aan de bovenkant en aan de voorkant hetzelfde vormp 
A: 	ja ja vier ik zijn hem kwijt maarja vier 
A: 	deze hebben dezelfde staaf van boven en links en die weer met die vier kubus aan de rechterkant 
B: 	eens even zoeken 
B: 	ja dat zijn d 
B: 	deze hebben de vier kubus aan de rechterkant en twee dezelfde vorm 
B: 	waarvan één aan de bovenkant en één aan de voorkant 
A: 	ja dat zijn acht 
A: 	dit zijn degeen met die staaf aan de bovenkant die hetzelfde zijn als aan de zijkant en die vier kubus aan de rechterkant 
B: 	ja dat zijn b 
A: 	juist 
B: 	dit zijn dit zijn de de vier kubus aan de rechterkant en de twee gelijk vorm 
B: 	aan de bovenkant en de voorkant 
A: 	ja nummer een zijn dat bij mij 
